primary_title,start_year,end_year,genres,average_rating,num_votes,show_id,normalized_title
Kyunki Saas Bhi Kabhi Bahu Thi,2000,2008,"Comedy,Drama,Family",1.6,1847,0f8b0376-cda1-4ffc-bdfe-fd3789e277fd,kyunkisaasbhikabhibahuthi
Open Your Eyes,2021,2021,"Drama,Mystery,Sci-Fi",6.6,1847,bfc18208-babb-4b97-b0d4-8ac95815a2d9,openyoureyes
The Charlie Brown and Snoopy Show,1983,1985,"Animation,Comedy,Family",7.4,1846,67c2ae28-25e9-4c8b-b6a2-7f0b59954eed,thecharliebrownandsnoopyshow
"More Than a Married Couple, But Not Lovers.",2022,2022,"Animation,Comedy,Drama",7.4,1846,570500c0-6861-4d08-84c5-ca89da1ad975,morethanamarriedcouplebutnotlovers
Total Divas,2013,2019,"Biography,Documentary,Drama",6.5,1844,b9eb325d-14c0-44b4-a72c-30469e3fdcf6,totaldivas
Side om side,2013,2023,"Comedy,Family",7.8,1844,ea73a908-2949-4002-8d93-e160be7013d0,sideomside
Now and Again,1999,2000,"Adventure,Comedy,Drama",8.1,1843,4618ed51-f2b8-446f-8bd3-51dc1e234438,nowandagain
Kaze no Stigma,2007,2007,"Action,Animation,Comedy",7.2,1842,e77b6ed0-80cb-43bf-a8f8-2ec42879d14c,kazenostigma
Call Me Kevin,2016,\N,Comedy,9.7,1841,9ae9b8c3-23ce-4620-ba0f-2b06b3e45792,callmekevin
Men of Anjolos,1997,\N,"Drama,History",7.0,1841,5a60d0b7-7cc5-4139-8603-292312d3e5be,menofanjolos
Mysteriet på Greveholm,1996,1996,"Comedy,Family,Fantasy",8.1,1841,781c5997-c21a-4c08-ba37-556666781170,mysterietpgreveholm
The Goodies,1970,1982,Comedy,7.7,1840,2c48461f-179b-42d6-9247-8e03b9dacac4,thegoodies
"Car 54, Where Are You?",1961,1963,Comedy,7.7,1839,8a7284b0-a700-4c54-847e-0ba180160527,car54whereareyou
Harry Potter: Hogwarts Tournament of Houses,2021,\N,"Action,Adventure,Game-Show",4.8,1839,5d0316c2-ce5b-42fc-a3c3-a7b175182f42,harrypotterhogwartstournamentofhouses
Plandemic,2020,\N,"Biography,Crime,Documentary",6.0,1839,92ff54b8-2581-43fc-af11-eaf71a7ae56a,plandemic
Il était une fois... l'espace,1982,1983,"Adventure,Animation,Family",7.5,1838,2a96ca38-2f15-4d71-a458-678737876b57,iltaitunefoislespace
Fartblinda,2019,\N,"Drama,Thriller",7.1,1837,43a1b184-9c3e-4bac-bb39-5db099eea217,fartblinda
Crazy Fun Park,2023,\N,Adventure,6.8,1837,38f7a721-a8b5-4529-92c7-330f9afe7fa7,crazyfunpark
Flower Boy Next Door,2013,2013,"Comedy,Romance",7.1,1836,d57c1e11-ff41-4fe1-a164-46f1012582bf,flowerboynextdoor
Gando,2019,2021,"Action,Mystery,Thriller",5.1,1835,37d47b50-dd53-4230-9d9e-668065f8f038,gando
TV total,1999,\N,"Comedy,Music,Talk-Show",6.7,1834,12d8f9bc-e658-4424-9349-a56f4beb101a,tvtotal
Barracuda Queens,2023,\N,"Crime,Drama,Thriller",6.4,1833,ea3ccaee-36eb-4d6e-8d33-d19a14bb48f8,barracudaqueens
