primary_title,start_year,end_year,genres,average_rating,num_votes,show_id,normalized_title
ACCA: 13-Territory Inspection Dept.,2017,\N,"Animation,Crime,Drama",7.0,549,312f565e-3cd9-49d4-a6e2-20f2bea2a885,acca13territoryinspectiondept
"Still, Life Goes On",2011,2011,Drama,7.8,549,de0b90da-41da-45b2-adfd-e9285d693149,stilllifegoeson
From Me to You: Kimi ni Todoke,2023,\N,"Comedy,Drama,Romance",6.9,549,726cdc26-723b-40a3-94a8-a1cc5bb22d1a,frommetoyoukiminitodoke
Highston,2015,\N,Comedy,7.6,548,a6514114-b879-4b45-af65-fe79a7b2490d,highston
Night and Day,2016,2017,Thriller,7.6,548,2b559593-1d7a-451f-ba2a-59406b71b766,nightandday
The Slime Diaries: That Time I Got Reincarnated as a Slime,2021,\N,"Action,Adventure,Animation",6.9,548,12e7b9f3-c9dc-47bc-81c4-dcfd3501929c,theslimediariesthattimeigotreincarnatedasaslime
Dinner Club,2021,\N,Documentary,7.5,548,e0bfe02d-aeec-4a82-8bd0-d1e641655f86,dinnerclub
Leah Remini: It's All Relative,2014,\N,Reality-TV,7.1,548,cd7e3903-3d7a-461e-ac79-2d496ac1e195,leahreminiitsallrelative
Reign Supreme,2022,\N,"Biography,Drama,Music",7.8,548,6a6045a2-0bf6-4e37-ac5f-a8323400e878,reignsupreme
De verschrikkelijke jaren tachtig,2022,\N,"Comedy,Drama",8.1,548,fdddcacd-ba51-41bf-a58f-77957d770607,deverschrikkelijkejarentachtig
Tia & Tamera,2011,2013,"Drama,Reality-TV,Romance",7.2,548,6b461be1-a1c5-4f1c-85d6-436f9fa49b89,tiatamera
Continuum,2012,\N,Sci-Fi,6.3,548,4dcf3596-84f7-43b6-821f-81ec4c7c1aba,continuum
Meta Runner,2018,2022,"Action,Adventure,Animation",8.4,548,74de6510-59a1-4ad1-910e-46aadea0ae54,metarunner
When My Love Blooms,2020,2020,"Drama,Romance",7.4,548,dc3ad8b2-0df6-426e-9d73-a9f43741e417,whenmyloveblooms
This Is Not Happening,2013,\N,Comedy,8.0,548,ca8f75de-cbc0-4e80-b51d-9036336b2709,thisisnothappening
Operation Good Guys,1997,2000,"Comedy,Crime",8.2,547,bffdc2fd-55e4-465c-a566-c72f773c1da7,operationgoodguys
Angelina Ballerina,2001,2009,"Animation,Family",5.6,547,630c1394-08f5-4919-8e34-665a3bf09626,angelinaballerina
Kuma Kuma Kuma Bear,2020,\N,"Action,Adventure,Animation",6.7,547,e3f35f46-5b8c-4f5d-8f0f-b0556de1dba3,kumakumakumabear
Prison Break: Proof of Innocence,2006,\N,"Adventure,Crime,Drama",7.2,547,d14bf6ff-8b4e-4214-a259-b9cfc5f6c8b6,prisonbreakproofofinnocence
Celebrity Gogglebox,2019,\N,Reality-TV,6.6,547,77244d71-b364-452f-9af8-d87d222d8b3d,celebritygogglebox
Benders,2015,2015,Comedy,6.4,547,f9cf576d-9b02-4104-8ae8-f305e185eb73,benders
Zane Grey Theatre,1956,1961,Western,7.5,547,252dccd6-1f72-4f3a-8c6b-dfb343329265,zanegreytheatre
