primary_title,start_year,end_year,genres,average_rating,num_votes,show_id
Over There,2005,2005,"Action,Drama,War",7.8,4488,0446241
The Bullwinkle Show,1959,1963,"Action,Adventure,Animation",7.8,4486,0052507
D.Gray-man,2006,2008,"Action,Adventure,Animation",7.7,4485,0899258
Our Girl,2013,2020,"Action,Drama,Thriller",7.6,4485,3815412
The Code,2014,2016,"Crime,Drama,Thriller",7.3,4484,3914672
Blunt Talk,2015,2016,Comedy,7.4,4484,4197508
Aftermath,2016,2016,"Adventure,Sci-Fi,Thriller",4.9,4481,5797772
Tabbar,2021,\N,"Drama,Thriller",8.3,4478,15404324
Prison Playbook,2017,2018,"Comedy,Drama",8.4,4475,7622902
Men of a Certain Age,2009,2011,"Comedy,Drama",8.0,4475,1242441
Snatch,2017,2018,"Comedy,Crime",6.9,4473,5992164
Maya,1975,1980,"Adventure,Animation,Comedy",6.7,4471,0133295
Runaway Lugaai,2021,2021,"Comedy,Drama",4.4,4465,13994872
MASK,1985,1986,"Action,Adventure,Animation",7.3,4464,0088563
Fanboy & Chum Chum,2009,2014,"Action,Adventure,Animation",3.3,4464,1299440
Bosom Buddies,1980,1982,Comedy,6.8,4460,0080202
Betrayal,2013,2014,Drama,6.9,4459,2751074
Agent X,2015,2015,"Action,Drama",6.1,4459,3499120
Super Friends,1973,1985,"Action,Adventure,Animation",7.2,4458,0069641
Legend of the Galactic Heroes,1988,1997,"Action,Animation,Drama",9.0,4454,0096633
"Don't Toy with Me, Miss Nagatoro",2021,2023,"Animation,Comedy,Romance",7.2,4452,12635162
Dragon Tales,1999,2005,"Adventure,Animation,Drama",6.4,4450,0243061
Black,2017,2017,"Crime,Drama,Fantasy",7.8,4450,7298976
The Mob Doctor,2012,2013,"Crime,Drama,Mystery",6.5,4449,2215717
Love Island,2015,\N,"Game-Show,Reality-TV,Romance",5.2,4447,4770018
Indian Summers,2015,2016,Drama,7.3,4446,3706628
Class,2016,2016,"Drama,Sci-Fi",6.8,4442,5079788
Rawhide,1959,1965,Western,8.0,4441,0052504
2gether,2020,2020,"Comedy,Drama,Romance",7.7,4440,12048276
Two Summers,2022,\N,"Drama,Thriller",6.8,4439,13018574
Süper Baba,1993,1997,"Comedy,Drama,Family",8.8,4434,0287883
Guys with Kids,2012,2013,Comedy,6.3,4428,2281583
Churails,2020,\N,"Drama,Mystery,Thriller",8.2,4427,12803682
"It's Okay, That's Love",2014,2014,"Comedy,Drama,Romance",8.3,4420,4031224
Jubilee,2023,\N,Drama,8.3,4419,19868804
Genis Aile,2009,2011,"Comedy,Romance",7.1,4418,1478022
Virkar,2021,\N,"Crime,Thriller",6.1,4417,13761658
Real Husbands of Hollywood,2013,\N,Comedy,7.7,4417,2608368
"Diners, Drive-ins and Dives",2006,\N,Reality-TV,7.4,4416,1020913
Monarch: Legacy of Monsters,2023,\N,"Action,Adventure,Sci-Fi",7.6,4415,17220216
Golden Time,2013,2014,"Animation,Comedy,Drama",7.6,4414,3105452
The Vision of Escaflowne,1996,1996,"Action,Adventure,Animation",7.8,4413,0138919
Hollyoaks,1995,\N,"Drama,Romance",4.6,4413,0112004
Joker,2021,2022,"Comedy,Reality-TV",6.2,4413,16409108
"Are You There, Chelsea?",2012,2012,Comedy,5.0,4410,1826989
Humsafar,2011,2012,"Drama,Romance",8.9,4406,2403201
The Chelsea Detective,2022,\N,"Crime,Mystery,Thriller",7.4,4404,14321914
This Time with Alan Partridge,2019,2021,Comedy,8.0,4403,7011370
The Kardashians,2022,\N,Reality-TV,4.5,4398,15791630
BH90210,2019,2019,"Comedy,Drama,Romance",6.9,4396,8179162
"Crazy, Confused, Normal",2007,2021,Comedy,8.4,4395,1093078
Grace Under Fire,1993,1998,"Comedy,Romance",6.4,4394,0106017
Chicago Justice,2017,2017,"Crime,Drama",6.8,4389,5640060
The Lost World,1999,2002,"Action,Adventure,Sci-Fi",7.1,4388,0240278
Love to Hate You,2023,\N,"Comedy,Romance",7.9,4387,26229508
Celebrity,2023,\N,"Drama,Mystery,Thriller",7.4,4379,26315488
Charlie's Angels,2011,2011,"Action,Adventure,Crime",4.4,4378,1760943
